request_type,issue,department_data_311,department_categories,requests,category_categories,category,department
retaining wall (public property),retaining wall (public property),DOMI - Structures,DPW - Construction Division,193,City Facilities and Infrastructure,City Facilities and Infrastructure,DPW - Construction Division
retaining wall (public property),retaining wall (public property),DOMIStructures,DPW - Construction Division,1,City Facilities and Infrastructure,City Facilities and Infrastructure,DPW - Construction Division
retaining wall maintenance,retaining wall maintenance,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",538,Building Maintenance,Building Maintenance,"Permits, Licenses and Inspections"
road,road,DOMI - Permits,DPW - Permits,356,Construction Issues,Construction Issues,DPW - Permits
rodent control,rodent control,Animal Care & Control,Animal Care & Control,2230,Animal Issues,Animal Issues,Animal Care & Control
root prune,NA,DPW - Forestry Division,,694,,Tree Issues,DPW - Forestry Division
root prune (city tree buckling private sidewalk),root prune (city tree buckling private sidewalk),,DPW - Forestry Division,NA,Tree Issues,Tree Issues,DPW - Forestry Division
salt box,salt box,DPW - Street Maintenance,DPW - Street Maintenance,163,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
schedule request,schedule request,311,311,255,Garbage and Litter Issues,Garbage and Litter Issues,311
sewage,NA,311,,51,,Utility Issues,311
sewers,sewers,Pittsburgh Water and Sewer Authority,Pittsburgh Water & Sewer Authority,375,Utility Issues,Utility Issues,Pittsburgh Water & Sewer Authority
shelters,shelters,DPW - Park Maintenance,DPW - Park Maintenance,50,Parks Issues,Parks Issues,DPW - Park Maintenance
side yard program,side yard program,311,Finance,2,Taxes,Taxes,Finance
sidewalk,NA,311,,33,,Pedestrian/Bicycle Concerns,311
sidewalk (city property),sidewalk (city property),DOMI - Streets,DPW - Construction Division,426,Construction Issues,Construction Issues,DPW - Construction Division
sidewalk (city property),sidewalk (city property),DPW - Construction Division,DPW - Construction Division,1,Construction Issues,Construction Issues,DPW - Construction Division
sidewalk closure violation,NA,DOMI - Permits,,40,,Pedestrian/Bicycle Concerns,DOMI - Permits
sidewalk obstruction,NA,DOMI - Permits,,1796,,Pedestrian/Bicycle Concerns,DOMI - Permits
"sidewalk, damaged/do not use",NA,311,,44,,Pedestrian/Bicycle Concerns,311
"sidewalk, lack of snow/ice removal","sidewalk, lack of snow/ice removal",311,311,570,Accessibility,Accessibility,311
"sidewalk, lack of snow/ice removal","sidewalk, lack of snow/ice removal",DOMI - Permits,311,117,Accessibility,Accessibility,311
"sidewalk, obstruction","sidewalk, obstruction",,DPW - Permits,NA,Accessibility,Accessibility,DPW - Permits
"sidewalk, overgrowth/obstruction","sidewalk, overgrowth/obstruction",DOMI - Permits,DPW - Permits,443,City Facilities and Infrastructure,City Facilities and Infrastructure,DPW - Permits
sign,sign,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",2436,Business Issues,Business Issues,"Permits, Licenses and Inspections"
"signs, advertising or political",NA,DPW - Major Dumping,,7,,Garbage and Litter Issues,DPW - Major Dumping
sinkhole,sinkhole,DPW - Street Maintenance,DPW - Street Maintenance,2321,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
smoke detectors,smoke detectors,Fire Bureau,Fire Bureau,613,Public Safety,Public Safety,Fire Bureau
snow angel intake,NA,,,258,,Accessibility,Unknown
snow angel volunteer,NA,311,,25,,Accessibility,311
snow/ice removal,snow/ice removal,DOMI - Streets,DPW - Street Maintenance,315,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
snow/ice removal,snow/ice removal,DPW - Street Maintenance,DPW - Street Maintenance,9061,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
spay/neuter application,NA,,,10,,Unknown,Unknown
special events,NA,,,19,,Unknown,Unknown
special pick up,NA,DPW - Refuse,,130,,Garbage and Litter Issues,DPW - Refuse
speeding,speeding,Police - Zones 1-6,Police - SDD,761,Public Safety,Public Safety,Police - SDD
stagnant water,NA,ACHD - Housing,,38,,Public Safety,ACHD - Housing
stormwater runoff,stormwater runoff,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",319,Neighborhood Issues,Neighborhood Issues,"Permits, Licenses and Inspections"
street cleaning/sweeping,street cleaning/sweeping,DPW - Street Maintenance,DPW - Street Maintenance,2325,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
street light - increased wattage,street light - increased wattage,DOMI - Permits,DPW - Transportation & Engineering,68,Street Light,Street Light,DPW - Transportation & Engineering
street light - repair,street light - repair,Allegheny City Electric,Allegheny City Electric,4819,Street Light,Street Light,Allegheny City Electric
street light - request,street light - request,DOMI - Permits,DPW - Transportation & Engineering,251,Street Light,Street Light,DPW - Transportation & Engineering
street light repair,NA,Allegheny City Electric,,20,,Street Light,Allegheny City Electric
street obstruction/closure,street obstruction/closure,DOMI - Permits,DPW - Permits,514,Road/Street Issues,Road/Street Issues,DPW - Permits
street obstruction/closure,street obstruction/closure,DPW - Permits,DPW - Permits,21,Road/Street Issues,Road/Street Issues,DPW - Permits
stump grind/removal,stump grind/removal,DPW - Forestry Division,DPW - Forestry Division,177,Tree Issues,Tree Issues,DPW - Forestry Division
tenant/landlord problemergency medical services,tenant/landlord problemergency medical services,,311,NA,Neighborhood Issues,Neighborhood Issues,311
tenant/landlord problems,NA,311,,31,,Neighborhood Issues,311
thank you,thank you,PCSC,Human Resources and Civil Service Commission,16,Personnel (City),Personnel (City),Human Resources and Civil Service Commission
thank you - 311,thank you - 311,311,311,36,Personnel (City),Personnel (City),311
thank you - citiparks,NA,,,1,,Personnel (City),Unknown
thank you - dpw,thank you - dpw,DPW - Administration,DPW - Administration,453,Personnel (City),Personnel (City),DPW - Administration
thank you - emergency medical services,thank you - emergency medical services,,Emergency Medical Services,NA,Personnel (City),Personnel (City),Emergency Medical Services
thank you - ems,NA,EMS - Administration,,5,,Personnel (City),EMS - Administration
thank you - finance,thank you - finance,Finance,Finance,3,Personnel (City),Personnel (City),Finance
thank you - pittsburgh water & sewer authority (pwsa),thank you - pittsburgh water & sewer authority (pwsa),,Pittsburgh Water & Sewer Authority (PWSA),NA,Personnel (City),Personnel (City),Pittsburgh Water & Sewer Authority (PWSA)
thank you - pli personnel,NA,,,8,,Personnel (City),Unknown
thank you - police,thank you - police,Police - Zones 1-6,Police - Zones 1-6,27,Personnel (City),Personnel (City),Police - Zones 1-6
thank you - pwsa,NA,Pittsburgh Water and Sewer Authority,,11,,Personnel (City),Pittsburgh Water and Sewer Authority
"ticket, pgh parking authority","ticket, pgh parking authority",Parking Authority,Parking Authority,77,Parking,Parking,Parking Authority
"ticket, police-issued","ticket, police-issued",Police - Zones 1-6,Police - Zones 1-6,26,Parking,Parking,Police - Zones 1-6
towed vehicle,towed vehicle,Police - AVU,Police - AVU,28,Parking,Parking,Police - AVU
traffic,traffic,DOMI - Traffic,Police - Zones 1-6,892,Public Safety,Public Safety,Police - Zones 1-6
traffic,traffic,DOMI - Traffic,DPW - Transportation & Engineering,892,Road/Street Issues,Road/Street Issues,DPW - Transportation & Engineering
traffic,traffic,DPW - Transportation & Engineering,Police - Zones 1-6,2,Public Safety,Public Safety,Police - Zones 1-6
traffic,traffic,DPW - Transportation & Engineering,DPW - Transportation & Engineering,2,Road/Street Issues,Road/Street Issues,DPW - Transportation & Engineering
traffic,traffic,Police - Zones 1-6,Police - Zones 1-6,1235,Public Safety,Public Safety,Police - Zones 1-6
traffic,traffic,Police - Zones 1-6,DPW - Transportation & Engineering,1235,Road/Street Issues,Road/Street Issues,DPW - Transportation & Engineering
traffic calming,NA,DOMI - Traffic,,81,,Traffic and Street Sign Issues,DOMI - Traffic
"traffic or pedestrian signal, repair","traffic or pedestrian signal, repair",DOMI - TrafficShop,DPW - Traffic,1981,Traffic and Street Sign Issues,Traffic and Street Sign Issues,DPW - Traffic
"traffic or pedestrian signal, request","traffic or pedestrian signal, request",DOMI - Traffic,DPW - Transportation & Engineering,566,Traffic and Street Sign Issues,Traffic and Street Sign Issues,DPW - Transportation & Engineering
"traffic or pedestrian signal, request","traffic or pedestrian signal, request",DPW - Transportation & Engineering,DPW - Transportation & Engineering,1,Traffic and Street Sign Issues,Traffic and Street Sign Issues,DPW - Transportation & Engineering
"traffic or pedestrian signal, request","traffic or pedestrian signal, request",,DPW - Transportation & Engineering,1,Traffic and Street Sign Issues,Traffic and Street Sign Issues,DPW - Transportation & Engineering
traffic shop,NA,DOMI - TrafficShop,,164,,Traffic and Street Sign Issues,DOMI - TrafficShop
traffic signal request,traffic signal request,DOMI - Traffic,DPW - Transportation & Engineering,332,Road/Street Issues,Road/Street Issues,DPW - Transportation & Engineering
traffic signal request,traffic signal request,DPW - Transportation & Engineering,DPW - Transportation & Engineering,1,Road/Street Issues,Road/Street Issues,DPW - Transportation & Engineering
traffic signals surtrac,NA,DOMI - Traffic,,81,,Traffic and Street Sign Issues,DOMI - Traffic
trail maintenance,NA,DPW - Street Maintenance,,96,,Parks Issues,DPW - Street Maintenance
tree fallen across road,tree fallen across road,DPW - Street Maintenance,DPW - Street Maintenance,1455,Tree Issues,Tree Issues,DPW - Street Maintenance
tree fallen across sidewalk,tree fallen across sidewalk,DPW - Street Maintenance,DPW - Street Maintenance,815,Tree Issues,Tree Issues,DPW - Street Maintenance
tree issues,tree issues,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",601,Neighborhood Issues,Neighborhood Issues,"Permits, Licenses and Inspections"
tree removal,tree removal,DPW - Forestry Division,DPW - Forestry Division,1683,Tree Issues,Tree Issues,DPW - Forestry Division
unpermitted electrical work,unpermitted electrical work,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",891,Construction Issues,Construction Issues,"Permits, Licenses and Inspections"
unpermitted fire system work,unpermitted fire system work,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",232,Construction Issues,Construction Issues,"Permits, Licenses and Inspections"
unpermitted hvac work,unpermitted hvac work,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",431,Construction Issues,Construction Issues,"Permits, Licenses and Inspections"
unpermitted land operations,unpermitted land operations,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",83,Construction Issues,Construction Issues,"Permits, Licenses and Inspections"
unpermitted sign construction,unpermitted sign construction,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",78,Construction Issues,Construction Issues,"Permits, Licenses and Inspections"
ura property,NA,,,345,,Neighborhood Issues,Unknown
utility cut - other,utility cut - other,DOMI - Permits,DPW - Permits,1115,Road/Street Issues,Road/Street Issues,DPW - Permits
utility cut - pittsburgh water & sewer authority (pwsa),utility cut - pittsburgh water & sewer authority (pwsa),,Pittsburgh Water & Sewer Authority (PWSA),NA,Road/Street Issues,Road/Street Issues,Pittsburgh Water & Sewer Authority (PWSA)
utility cut - pwsa,NA,Pittsburgh Water and Sewer Authority,,1127,,Utility Issues,Pittsburgh Water and Sewer Authority
utility pole,utility pole,DOMI - Permits,DPW - Permits,527,Utility Issues,Utility Issues,DPW - Permits
vacant building,vacant building,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",3191,Neighborhood Issues,Neighborhood Issues,"Permits, Licenses and Inspections"
vacant lot,NA,311,,163,,Neighborhood Issues,311
violations,violations,,DPW - Refuse,NA,Garbage and Litter Issues,Garbage and Litter Issues,DPW - Refuse
walkway or trail,walkway or trail,DPW - Street Maintenance,311,102,Accessibility,Accessibility,311
water main break,water main break,Pittsburgh Water and Sewer Authority,Pittsburgh Water & Sewer Authority,475,Utility Issues,Utility Issues,Pittsburgh Water & Sewer Authority
water pressure,water pressure,Pittsburgh Water and Sewer Authority,Pittsburgh Water & Sewer Authority,63,Utility Issues,Utility Issues,Pittsburgh Water & Sewer Authority
water/drinking fountains,water/drinking fountains,DPW - Facilities,DPW - Facilities,431,City Facilities and Infrastructure,City Facilities and Infrastructure,DPW - Facilities
water/drinking fountains,water/drinking fountains,DPW - Facilities,DPW  - Facilities,431,Parks Issues,Parks Issues,DPW  - Facilities
weeds/debris,weeds/debris,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",22280,Neighborhood Issues,Neighborhood Issues,"Permits, Licenses and Inspections"
wires,wires,DOMI - Permits,DPW - Permits,863,Utility Issues,Utility Issues,DPW - Permits
zoning issue,zoning issue,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",1271,Business Issues,Business Issues,"Permits, Licenses and Inspections"
