request_type,issue,department_data_311,department_categories,requests,category_categories,category,department
"graffiti, documentation","graffiti, documentation",Police - Zones 1-6,Police - Zones 1-6,1268,Graffiti Issues,Graffiti Issues,Police - Zones 1-6
"graffiti, owner refused dpw removal",NA,,,5,,Graffiti Issues,Unknown
"graffiti, removal","graffiti, removal",DPW - 2nd Division,DPW - 2nd Division,668,Graffiti Issues,Graffiti Issues,DPW - 2nd Division
guide rail,guide rail,DPW - Construction Division,DPW - Construction Division,268,Road/Street Issues,Road/Street Issues,DPW - Construction Division
handicap parking signs,NA,DOMI - Traffic,,382,,Traffic and Street Sign Issues,DOMI - Traffic
handicap ramp request,handicap ramp request,,DPW - Transportation & Engineering,NA,Road/Street Issues,Road/Street Issues,DPW - Transportation & Engineering
"handicap ramp, repair","handicap ramp, repair",DOMI - Streets,DPW - Construction Division,154,Accessibility,Accessibility,DPW - Construction Division
"handicap ramp, request for installation","handicap ramp, request for installation",DOMI - Streets,DPW - Transportation & Engineering,130,Accessibility,Accessibility,DPW - Transportation & Engineering
handicapped parking application,NA,311,,162,,Parking,311
handicapped parking sign request,handicapped parking sign request,,311,1,Parking,Parking,311
"handicapped parking space, residential request","handicapped parking space, residential request",,311,NA,Traffic and Street Sign Issues,Traffic and Street Sign Issues,311
health hazard,NA,ACHD - Housing,,144,,Public Safety,ACHD - Housing
homeless,homeless,Mayor's Office - Community Affairs,Police - Zones 1-6,312,Public Safety,Public Safety,Police - Zones 1-6
homestead act/senior tax relief,homestead act/senior tax relief,Finance,Finance,2,Business Issues,Business Issues,Finance
hvac not functioning,hvac not functioning,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",58,Building Maintenance,Building Maintenance,"Permits, Licenses and Inspections"
hydrant,hydrant,Pittsburgh Water and Sewer Authority,Pittsburgh Water & Sewer Authority,673,Utility Issues,Utility Issues,Pittsburgh Water & Sewer Authority
hydrant - fire admin,NA,Fire Bureau,,22,,Public Safety,Fire Bureau
illegal dumping,illegal dumping,DOMI - Permits,DPW - Permits,2071,Garbage and Litter Issues,Garbage and Litter Issues,DPW - Permits
illegal parking,illegal parking,Police - Zones 1-6,Police - Zones 1-6,4453,Parking,Parking,Police - Zones 1-6
improper work in a historic district,improper work in a historic district,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",92,Construction Issues,Construction Issues,"Permits, Licenses and Inspections"
junk vehicles,junk vehicles,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",923,Neighborhood Issues,Neighborhood Issues,"Permits, Licenses and Inspections"
knowledge base articles,NA,,,5,,Unknown,Unknown
landslide,landslide,DOMI - Structures,DPW - Transportation & Engineering,403,Road/Street Issues,Road/Street Issues,DPW - Transportation & Engineering
landslide,landslide,DPW - Transportation & Engineering,DPW - Transportation & Engineering,1,Road/Street Issues,Road/Street Issues,DPW - Transportation & Engineering
late set out,late set out,DPW - Refuse,DPW - Refuse,97,Garbage and Litter Issues,Garbage and Litter Issues,DPW - Refuse
lead testing kit,NA,Pittsburgh Water and Sewer Authority,,178,,Utility Issues,Pittsburgh Water and Sewer Authority
leak,leak,311,311/Pittsburgh Water & Sewer Authority,159,Building Maintenance,Building Maintenance,311/Pittsburgh Water & Sewer Authority
leak,leak,311,Pittsburgh Water & Sewer Authority,159,Utility Issues,Utility Issues,Pittsburgh Water & Sewer Authority
leak,leak,Pittsburgh Water and Sewer Authority,311/Pittsburgh Water & Sewer Authority,2161,Building Maintenance,Building Maintenance,311/Pittsburgh Water & Sewer Authority
leak,leak,Pittsburgh Water and Sewer Authority,Pittsburgh Water & Sewer Authority,2161,Utility Issues,Utility Issues,Pittsburgh Water & Sewer Authority
"leaves, grass or other yard debris","leaves, grass or other yard debris",DPW - Refuse,DPW - Refuse,256,Garbage and Litter Issues,Garbage and Litter Issues,DPW - Refuse
leaves/street cleaning,leaves/street cleaning,DPW - Street Maintenance,DPW - Street Maintenance,845,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
lights,lights,DPW - Park Maintenance,DPW - Park Maintenance,256,Parks Issues,Parks Issues,DPW - Park Maintenance
line striping/curb painting (maintenance issue),line striping/curb painting (maintenance issue),,DPW - Traffic,NA,Road/Street Issues,Road/Street Issues,DPW - Traffic
line striping/curb painting (new request),line striping/curb painting (new request),,DPW - Transportation & Engineering,NA,Road/Street Issues,Road/Street Issues,DPW - Transportation & Engineering
litter,litter,DPW - Park Maintenance,DPW - Street Maintenance,184,Garbage and Litter Issues,Garbage and Litter Issues,DPW - Street Maintenance
litter,litter,DPW - Park Maintenance,DPW - Park Maintenance,184,Parks Issues,Parks Issues,DPW - Park Maintenance
litter,litter,DPW - Street Maintenance,DPW - Street Maintenance,5226,Garbage and Litter Issues,Garbage and Litter Issues,DPW - Street Maintenance
litter,litter,DPW - Street Maintenance,DPW - Park Maintenance,5226,Parks Issues,Parks Issues,DPW - Park Maintenance
litter can,litter can,DPW - Park Maintenance,DPW - Park Maintenance,124,Parks Issues,Parks Issues,DPW - Park Maintenance
litter can,litter can,DPW - Park Maintenance,DPW - Street Maintenance,124,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
litter can,litter can,DPW - Street Maintenance,DPW - Park Maintenance,50,Parks Issues,Parks Issues,DPW - Park Maintenance
litter can,litter can,DPW - Street Maintenance,DPW - Street Maintenance,50,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
"litter can, public","litter can, public",DPW - Street Maintenance,DPW - Street Maintenance,1506,Garbage and Litter Issues,Garbage and Litter Issues,DPW - Street Maintenance
loading zone application,NA,,,6,,Traffic and Street Sign Issues,Unknown
"loading zone, request",NA,311,,25,,Traffic and Street Sign Issues,311
loose dog(s),loose dog(s),Animal Care & Control,Animal Care & Control,277,Animal Issues,Animal Issues,Animal Care & Control
maintenance issue,NA,DOMI - TrafficShop,,986,,Road/Street Issues,DOMI - TrafficShop
manhole cover,manhole cover,DOMI - Permits,DPW - Permits,321,Utility Issues,Utility Issues,DPW - Permits
"manhole covers, pittsburgh water & sewer authority (pwsa)","manhole covers, pittsburgh water & sewer authority (pwsa)",,Pittsburgh Water & Sewer Authority,NA,Utility Issues,Utility Issues,Pittsburgh Water & Sewer Authority
"manhole covers, pwsa",NA,Pittsburgh Water and Sewer Authority,,520,,Road/Street Issues,Pittsburgh Water and Sewer Authority
mayor's office,mayor's office,311,Mayor's Office - Community Affairs,532,Ask Us/General FAQs,Ask Us/General FAQs,Mayor's Office - Community Affairs
medical exemption - tote,NA,DPW - Refuse,,27,,Unknown,DPW - Refuse
meter (broken),meter (broken),Parking Authority,Parking Authority,77,Parking,Parking,Parking Authority
meter (water),meter (water),,Pittsburgh Water & Sewer Authority,37,Utility Issues,Utility Issues,Pittsburgh Water & Sewer Authority
missed blue bag,missed blue bag,DPW - Refuse,DPW - Refuse,1187,Garbage and Litter Issues,Garbage and Litter Issues,DPW - Refuse
missed pick up,missed pick up,DPW - Refuse,DPW - Refuse,4997,Garbage and Litter Issues,Garbage and Litter Issues,DPW - Refuse
mobile phone app,mobile phone app,311,311,8,"Communications (Cable, Website)","Communications (Cable, Website)",311
need potable water,NA,Pittsburgh Water and Sewer Authority,,848,,Utility Issues,Pittsburgh Water and Sewer Authority
neighborhood issues,NA,,,95,,Neighborhood Issues,Unknown
new crosswalk request,new crosswalk request,DOMI - Traffic,DPW - Transportation & Engineering,338,Road/Street Issues,Road/Street Issues,DPW - Transportation & Engineering
new request,NA,DOMI - Traffic,,394,,Traffic and Street Sign Issues,DOMI - Traffic
no dumping sign,NA,,,4,,Garbage and Litter Issues,Unknown
no parking variance,no parking variance,DOMI - Permits,DPW - Permits,144,Parking,Parking,DPW - Permits
no parking variance,no parking variance,DPW - Permits,DPW - Permits,12,Parking,Parking,DPW - Permits
no water,no water,Pittsburgh Water and Sewer Authority,Pittsburgh Water & Sewer Authority,142,Utility Issues,Utility Issues,Pittsburgh Water & Sewer Authority
noise,noise,Police - Zones 1-6,Police - Zones 1-6,255,Public Safety,Public Safety,Police - Zones 1-6
nuisance bar,NA,Police - Narcotics,,74,,Public Safety,Police - Narcotics
